Nome da tarefa,Descrição,Status,Prioridade,Resumo,"Responsável "
Contas a Receber,Erro Salvamento de Arquivos pós Fat,Concluída,Média,Cris irá testar novamente em sua máquina o salvamento dos arquivos e caso esteja com o erro testamos diretamente na máquina da Cris,Diogo
Contas a Pagar,Adiantamento para Filiais,Concluída,Média,Prestação de Contas - Filial preenche planilha gastos internos - Matriz adapta no robô 131 e carrega todos os títulos em lote na unidade da filial,Diogo
Contas a Pagar,Saldo Inicial,Concluída,Média,Ajuste ano 2021/22/23 - Saldo Ajustado,Diogo
Contas a Receber,Reembolso pela agenda,Concluída,Média,"Informar Status no Protocolo e Carregar no campo Protocolo através do robo 04. Utilizar o filtro para filtrar status e faturar, posteriormente informar o numero do protocolo substituindo o status. Cris irá testar - Verificar melhor forma de tratar agenda com casos de reembolso com a Cris - Workflow",Cristina
Contas a Pagar,Lançamento em Lote,Concluída,Baixa,"Lançar em Lote SPF’s (Custas, correspondente e Notificação) - Estudar Robô Lançamentos SPF em Lote - Ródiney Robô em execução, melhorias a realizar.",Ródiney
Contas a Pagar,Nº Nota Fiscal,Concluída,Média,"Informar o número da Nota Fiscal a (Contas a Pagar/Receber) a partir do lançamento da SPF. - Concluido com a solução de ajuste da rotina de colocar no resumo da SPF a informação da NF a pagar quando a conta for custas localizadores. Sugestão de melhria, colocar campo PIX nas inf financeiras das pessoas",Diogo
Contas a Pagar,Título Imposto Retido,Concluída,Média,"Rb 131 - Gerar um título de imposto retido, a partir da Nota Fiscal - Montagem de relatório no CPR exportando impostos lançados no Perfil Trib 2 e usar como base de exportação do relatório do robô 131 já no formato do robô e carregar em lote",Wendlys
Contas a Receber,Faturar com Filtro,Concluída,Média,"Resolvido faturar com filtro data, data de criação não reflete. Quando definido um filtro de Período, ao selecionar os títulos para faturar, não está faturando. ",Diogo
Contas a Receber,Cadastros para Pagamento,Concluída,Baixa,Atualmente são cadastrados vários processos de entrega amigável para a realização de apenas 1 único pagamento (ideia: ficha consultiva) - Abrir ficha consultiva e SPF atende normalmente demandas a pagar e receber,Diogo
Contas a Receber,Alteração Lançamentos Não Identificados,Concluída,Média,"REVISAR 26/06 - Rotina de cancelar a baixa do banco, alimentar historico com o cliente identificado e baixa novamente pela Cris. Conciliação Katia",Diogo
