Projeto,Descrição,Prioridade,Setor,Cliente,Status,Data de Início,Data de Término,Responsável,Atualizado por
RELATÓRIO ACORDO (INCLUSÃO DE CAMPO DE ID COD CYBER),"INCLUIR ID DE ACORDO GERADO PELO CYBER NO REALTÓRIO INTERNO ",Médio,CPJ,Natura,Concluído,18/07/2025,08/07/2025,,Camila Anjos
BLACK LIST BRADESCO,"NUMEROS PARA BLOQUEIO ENVIADOS PELO BANCO ",Médio,Cobrança,"Bradesco BA, Bradesco JUD",Concluído,,,Camila,Camila Anjos
"AÇÕES MASSIVAS WHATSAPP E SMS ","ENVIO DE AÇÕES DE PREVENTIVO , LOCALIZAÇÃO E EVENTOS ",Baixa,Cobrança,Natura,Concluído,,,Camila,Camila Anjos
ALTO VALOR DRIVE NATURA,"ENVIO E ATUALIZAÇÃO DOS CASOS DE ALTO VALOR ACIMA 10K COMPETIÇÃO DAS ACESSORIAS ",Médio,Cobrança,Natura,Concluído,,,Camila,Camila Anjos
"HORA A HORA DRIVE NATURA ","(ENVIAR A CADA 1H), DISPONIBILIZAÇÃO PARA GESTORA NATURA",Alta,Cobrança,Natura,Concluído,01/08/2025,,Camila,Camila Anjos
MAILING DISCADOR,"HIGIENIZAÇÃO DE TELEFONES , EXECUAÇÃO DE ESTRATIEGIA ",Médio,Cobrança,Natura,Concluído,,,Camila,Camila Anjos
"ESTRATIFICAÇÃO CARTEIRA ","ACOMPANHAMENTO DE VOLUMETRIA DIARIA DA BASE REMESSA/RETIRADA ",Alta,Cobrança,Natura,Concluído,01/08/2025,,Camila,Camila Anjos
CARGA NATURA ,ACOMPANHAR O RECEBIMENTO DIARIO DA CARGA NATURA RECEBIMENTO E IMPORTAÇÃO,Alta,Cobrança,Natura,Concluído,01/08/2025,,Camila,Camila Anjos
DISCADOR - BRADESCO,CONFIGURAR DISCADOR NA CARTEIRA DO BRADESCO PARA PODERMOS BATER A BASE HOT RECEBIDA PELO BANCO E CONVERTER CASOS NÃO LOCALIZADOS EM CPC.,Médio,Cobrança,"Bradesco BA, Bradesco JUD",Concluído,01/07/2025,08/07/2025,Jackson,JACKSON GOMES
CONTROLE DE RESULTADOS RCB,ATUALIZAR O ACOMPANHAMENTO DE RESULTADO DA RCB PARA UMA PROJEÇÃO DE RECEBIMENTO DE HO CONTRATUAL DOS CASOS RECEBIDO,Alta,Cobrança,RCB Busca,Concluído,15/07/2025,18/07/2025,Jackson,JACKSON GOMES
